tahun,provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah 
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,45-49,Laki-Laki,1029
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,50-54,Laki-Laki,888
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,55-59,Laki-Laki,719
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,60-64,Laki-Laki,464
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,65-69,Laki-Laki,321
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,70-75,Laki-Laki,193
2017,DKI Jakarta,JAKARTA PUSAT,GAMBIR,DURI PULO,>75,Laki-Laki,184
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,0-4,Laki-Laki,361
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,05-09,Laki-Laki,517
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,10-14,Laki-Laki,530
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,15-19,Laki-Laki,574
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,20-24,Laki-Laki,539
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,25-29,Laki-Laki,532
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,30-34,Laki-Laki,686
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,35-39,Laki-Laki,713
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,40-44,Laki-Laki,611
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,45-49,Laki-Laki,626
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,50-54,Laki-Laki,571
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,55-59,Laki-Laki,517
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,60-64,Laki-Laki,417
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,65-69,Laki-Laki,374
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,70-75,Laki-Laki,237
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,>75,Laki-Laki,172
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,0-4,Laki-Laki,939
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,05-09,Laki-Laki,1420
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,10-14,Laki-Laki,1362
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,15-19,Laki-Laki,1290
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,20-24,Laki-Laki,1198
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,25-29,Laki-Laki,1283
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,30-34,Laki-Laki,1505
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,35-39,Laki-Laki,1620
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,40-44,Laki-Laki,1462
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,45-49,Laki-Laki,1329
