tahun,nama_provinsi,nama_kabupaten/kota,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah_penduduk
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,0-4,Laki-laki,2296
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,0-4,Laki-laki,2037
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,PONDOK PINANG,0-4,Laki-laki,2596
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,0-4,Laki-laki,1883
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,0-4,Laki-laki,2015
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,0-4,Laki-laki,2064
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,0-4,Laki-laki,1898
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,0-4,Laki-laki,2221
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,0-4,Laki-laki,1582
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,0-4,Laki-laki,2051
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,0-4,Laki-laki,1019
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,0-4,Laki-laki,1201
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,MELAWAI,0-4,Laki-laki,73
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,0-4,Laki-laki,333
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,0-4,Laki-laki,619
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,0-4,Laki-laki,102
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,RAWA BARAT,0-4,Laki-laki,231
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,0-4,Laki-laki,115
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,0-4,Laki-laki,183
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,0-4,Laki-laki,471
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,0-4,Laki-laki,1806
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,0-4,Laki-laki,1623
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,0-4,Laki-laki,999
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,0-4,Laki-laki,2106
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWA JATI,0-4,Laki-laki,954
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,0-4,Laki-laki,1328
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PENGADEGAN,0-4,Laki-laki,926
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,0-4,Laki-laki,578
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,0-4,Laki-laki,2960
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,0-4,Laki-laki,2907
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,0-4,Laki-laki,1798
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,0-4,Laki-laki,2653
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT,0-4,Laki-laki,1965
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,0-4,Laki-laki,1696
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,0-4,Laki-laki,1389
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,0-4,Laki-laki,2419
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,0-4,Laki-laki,2577
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,0-4,Laki-laki,1727
2015,PROVINSI DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,0-4,Laki-laki,2115
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,0-4,Laki-laki,1477
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,0-4,Laki-laki,1418
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,0-4,Laki-laki,1210
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,0-4,Laki-laki,921
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,0-4,Laki-laki,776
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,0-4,Laki-laki,1582
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,0-4,Laki-laki,1581
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,0-4,Laki-laki,1975
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,0-4,Laki-laki,1887
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,0-4,Laki-laki,1236
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,0-4,Laki-laki,1678
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,0-4,Laki-laki,1832
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,0-4,Laki-laki,1411
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,KAMPUNG MELAYU,0-4,Laki-laki,1426
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,0-4,Laki-laki,1791
2015,PROVINSI DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,0-4,Laki-laki,369
